query,vol,kd,kd_source,priority,score,pillar,role,compliance,ai_overview,serp_verdict,coverage_status,primary_article_slug,sources
luteinizing hormone meaning,1300,19,dfs,3,4,,spoke,,,,,,backlog
mean cell hemoglobin concentration low,1300,8,dfs,3,5,,spoke,,,,,,backlog
na blood test,1300,3,dfs,3,6,,commercial,,,,,,backlog
low mean cell haemoglobin concentration,1300,0,dfs,3,5,D,spoke,,,,,,backlog
meaning of /lh,1300,17,dfs,3,4,,spoke,,,,,,backlog
lymphocytes blood test,1300,5,dfs,3,6,D,commercial,,,,,,backlog
72/4,1300,0,dfs,3,5,,spoke,,,,,,backlog
low vitamin d treatment,1300,10,dfs,3,5,pillar-A,spoke,medium,,,,,csv
supplements for tiredness,1300,9,dfs,3,5,pillar-B,spoke,medium,,,,,csv
does testosterone cause hair loss,1300,0,dfs,3,5,pillar-C,spoke,gate,,,,,csv
vitamin d deficiency treatment,1300,18,dfs,3,4,A,spoke,,,,,,discovery
full blood count abnormal,1300,15,dfs,3,4,D,spoke,,,,,,discovery
menopausal brain fog,1300,8,dfs,3,5,,spoke,,,,,,discovery
how long does it take to get blood test results,1300,0,dfs,3,5,,spoke,,,,,,discovery
home blood test kit,1000,0,dfs,3,6,,commercial,,,,,,backlog
blood test for hair loss,1000,0,dfs,3,6,programmatic-symptoms,commercial,medium,,,,,backlog+csv+backlog
complete blood test uk,1000,0,dfs,3,6,,commercial,,,,,,backlog
hormones males,1000,15,dfs,3,4,,spoke,,,,,,backlog
blood test kit,1000,0,dfs,3,6,,commercial,,,,,,backlog
blood testing kits,1000,6,dfs,3,6,,commercial,,,,,,backlog
fbc blood test uk,1000,0,dfs,3,6,D,commercial,,,,,,backlog
folate normal level,1000,3,dfs,3,5,D/B12,spoke,,,,,,backlog
full blood test uk,1000,0,dfs,3,6,,commercial,,,,,,backlog
globulin blood test,1000,16,dfs,3,5,,commercial,,,,,,backlog
